identifier,guid,kind,desc_chars,wiki_pages,wiki_chars,n_files,n_doc_files,doc_files
10.17605/osf.io/fnb9g,fnb9g,nodes,0,0,0,6,2,ReubenLevin_Preregistration_fw_lr.pdf | bachelors_thesis_LR.pdf
10.17605/osf.io/erza6,erza6,nodes,0,1,1736,1,1,F.Zhang_ReMo_Munster_Official.pdf
10.17605/osf.io/fcwnr,fcwnr,nodes,0,1,1234,65,1,Meta-analyses and robustness check.pdf
10.17605/osf.io/fmuv2,fmuv2,nodes,0,1,314,42,27,Chan&Feldman-2023-PCIRR-McCullough_etal_1997-replication-extension-final.pdf | Chan-Feldman-2024-CogEmo-McCullough-etal-1997-replication-extension-preprint-final.pdf | Chan-Feldman-2024-CogEmo-McCullough-etal-1997-replication-extension-print+supp.pdf | Dummy_data_analysis.docx | Effect_size_and_power_analysis_for_original_study.docx | RRR_McCullough_etal_1997_rep_ext.pdf | RRR_McCullough_etal_1997_rep_ext.docx | PCIRR-S1-McCullough_etal_1997_rep_ext-cover-letter.docx | PCIRR-S1-McCullough_etal_1997_rep_ext-supplementary.docx | Chan&Feldman-PCIRR-Stage1-McCullough_etal_1997-replication-extension-preprint.pdf
10.17605/osf.io/g2zv6,g2zv6,nodes,0,1,37,17,7,Strohminger__Nichols_2014_Essential_Moral_Self_replication__extension.docx | Strohminger & Nichols (2014) replication & extension_ main manuscript.docx | Strohminger & Nichols (2014) replication & extension_ supplementary.docx | Wong-Feldman-2019-Strohminger-Nichols-2014-rep-ext-preprint.pdf | Strohminger&Nichols(2014)-rep-ext-supplementary-v2.docx | Strohminger&Nichols(2014)-rep-ext-main-manuscript-v2.docx | Variable computation and data preparation procedure.docx
10.17605/osf.io/fxpwb,fxpwb,nodes,0,1,132,27,8,Svenson_1981_Linkoping_replication__extension.docx | Svenson 1981 replication pre-registration (integrated).docx | MP-Svenson 1981-Supplementary-after-reprocheck.docx | MP-Svenson 1981-Manuscript-after-reprocheck.docx | Koppel et al-Svenson 1981-replication-extension-preprint-after-repro-check.pdf | Koppel et al-2023-Svenson1981-replication-extension-print.pdf | Svenson_output.pdf | 2932_reproducibility_check_responseLK.docx
10.17605/osf.io/g9czs,g9czs,nodes,0,1,571,34,20,Ding-Feldman-2025-RSOS-PCIRR-Fox-Rottenstreich-2003-RRR-preprint-v1.pdf | Ding-Feldman-2025-RSOS-PCIRR-Fox-Rottenstreich-2003-RRR-print-with-supp.pdf | PCIRR-S1-Fox-Rottenstreich-2003-replication-snapshot.docx | PCIRR-S1-Fox-Rottenstreich-2003-replication-cover-letter.docx | PCIRR-S1-Fox-Rottenstreich-2003-replication-cover-letter.docx | PCIRR-S1-Fox-Rottenstreich-2003-replication-main-manuscript.docx | Ding-Feldman-2024-PCIRR-S1-Fox-Rottenstreich-2003-replication-registered-report-preprint.pdf | PCIRR-S1-Fox-Rottenstreich-2003-replication-supplementary.docx | Fox_and_Rottenstreich_2003_replication_extension.docx | Fox_and_Rottenstreich_2003_replication_extension.pdf
10.17605/osf.io/gax7j,gax7j,nodes,0,0,0,21,9,text_exp.docx | text_control.docx | Manuscript original.docx | Table 1. lmer analyses 2W.docx | ShortManuscript_16082023.docx | Table 2. correlation table.docx | Table 3. lmer main analyses.docx | Table 4 and 5. lmer exploratory analyses.docx | Figure 1 - suppl.docx
10.17605/osf.io/fujsv,fujsv,nodes,0,1,600,42,29,RSOS-Fox-etal-2005-RRR-main-manuscript-v2.docx | RSOS-Fox-etal-2005-RRR-supplementary.docx | Li-Feldman-2026-RSOS-Fox-etal-2005-RRR-preprint.pdf | Fox etal 2005-rep-ext-PCIRR-Stage1-Snapshot.docx | Fox et al 2005 replication & extension main manuscript.docx | Fox et al 2005 replication & extension supplementary.docx | Li & Feldman-partition-dependence-Fox-etal-2005-replication-extension-preprint.pdf | RRR_Fox_Ratner_and_Lieb_2005_Studies_125_replication__extension.docx | RRR_Fox_Ratner_and_Lieb_2005_Studies_125_replication__extension.pdf | Fox-etal-2005-rep-ext-data-analysis-Study5-v3-G.docx
10.17605/osf.io/ghfy4,ghfy4,nodes,0,1,632,44,28,Chan-etal-2025-PCIRR-RSOS-Tsang2006-replication-extension-preprint-final.pdf | RSOS-PCIRR-S2-final-Tsang2006-replication-extension-main-manuscript-v1.docx | RSOS-PCIRR-S2-final-Tsang2006-replication-extension-supplementary-v1.docx | Chan-etal-2025-PCIRR-RSOS-Tsang2006-replication-extension-print.pdf | PCIRR-Tsang2006-Replication-extension-cover-letter.docx | Chan-etal-PCIRR-Stage1-Tsang2006-replication-extension-preprint.pdf | PCIRR-Tsang2006-Replication-extension-main-manuscript.docx | PCIRR-Tsang2006-Replication-extension-supplementary.docx | RRR_Tsang_2006_Studies_23.pdf | RRR_Tsang_2006_Studies_23.docx
10.17605/osf.io/he5za,he5za,nodes,0,1,209,6,6,Questionnaire booklet.docx | finger_counting_instructions.pdf | Experimenters_instructions_booklet.docx | Colling+Szucs16_RegRep_protocol.docx | Colling+Szucs16_RegRep_ProposedAnalysis.docx | Checklist.docx
10.17605/osf.io/gs2rx,gs2rx,nodes,0,1,1262,22,8,"Pronin__Ross_2006_studies_1-3_Temporal_Distance_Nadia.docx | Temporal asymmetry (Pronin & Ross, 2006)_ Main manuscript .docx | Temporal asymmetry (Pronin & Ross, 2006)_ Supplementary.docx | IRSP-Pronin  Ross 2006 replication extension-main-CE-v4-G-NC.docx | IRSP-Pronin & Ross 2006 replication extension-supplementary-CE-v2-G-NC.docx | Adelina & Feldman 2021-Pronin & Ross 2006-replication and extension-print.pdf | Effect-size-and-power-analysis.pdf | Real-data-analysis--post-exclusions--v2.pdf"
10.17605/osf.io/h2pqu,h2pqu,nodes,0,1,257,39,21,PCIRR-S2-final-Bastian-etal-2012-replication-main-manuscript-v1.docx | PCIRR-S2-final-Bastian-etal-2012-replication-supplementary-v1.docx | Jacobs-etal-2024-PCIRR-endorsed-Bastian-etal-2012-replication-preprint-v5.pdf | Jacobs-etal-2024-IRSP-PCIRR-endorsed-Bastian-etal-2012-replication-print-official.pdf | PCIRR-Stage1-Snapshot-Bastian-v5.docx | PCI-RR snapshot cover letter-v1-G.docx | Jacobs-etal-PCIRR-Bastian-etal-2012-replication-preprint.pdf | Bastian-etal-2012-Replication-PCIRR-Manuscript-v7.docx | Bastian-etal-2012-Replication-PCIRR-Supplementary-v6.docx | Bastian-etal-2012-rep-ext-Sensitivity-Analysis.docx
10.17605/osf.io/hw4av,hw4av,nodes,0,0,0,19,5,Kozak et al. (2006) Replication and Extension_ Supplementary.docx | Kozak_et_al_2006_Replication_and_Extension.docx | Kozak et al. (2006) Replication and Extension_ Main manuscript.docx | Wong-Feldman-2021-Kozak-etal-2006-replication-preprint.pdf | R code.docx
10.17605/osf.io/hbjyv,hbjyv,nodes,0,0,0,16,9,Karmarkar__Tormala_replication_v3_anon.docx | RR1-K&T2010-Rep-Rev2-V1-Anon.docx | Supplement-K&T2010-Rep-RR1-Rev2.docx | RRStage1_KarmarkarTormala2010replication_AcceptedInPrinciple.pdf | RR2-SupMtrl-K&T2010-V1.docx | RR2-MS-K&T2010-V2-Anon.docx | RR2-MS-K&T2010-V3-Final-Preprint.pdf | Karmarkar__Tormala_replication_v2.docx | calculation-of-Karmarkar-and-Tormala-ES.docx
10.17605/osf.io/j3fyq,j3fyq,nodes,0,1,4439,37,5,replication recipe checklist - redromance - in person.docx | replication recipe checklist - redromance - online.docx | Red-Attraction_-_In-person.docx | Romantic Red - Qualtrics Study - Word Export.docx | Romantic Red - Screen - Word Export.docx
10.17605/osf.io/jgrz3,jgrz3,nodes,0,0,0,22,5,Gervais Replication Masked Final.docx | Open Science of Religion Materials.docx | Supplemental.pdf | S1Results.docx | S2Results.docx
10.17605/osf.io/jmknw,jmknw,nodes,0,0,0,18,8,Materials.docx | rrr_stage-1_the-blame-game-main-text.docx | Instructions and informed consent.docx | Materials_translation_final.docx | Study 2a (Croatian) materials SurveyMonkey.pdf | Study 1a (Croatian) materials SurveyMonkey.pdf | Study 1b (English) materials SurveyMonkey.pdf | Study 2b (English) materials SurveyMonkey.pdf
10.17605/osf.io/j6wmn,j6wmn,nodes,0,0,0,28,1,README_LLMs API Calls.docx
10.17605/osf.io/me58c,me58c,nodes,0,0,0,0,0,
10.17605/osf.io/kbz5n,kbz5n,nodes,0,0,0,2,2,prereg_2021_DALIM.docx | prereg_2021_DALIM_(versioning_erratum).docx
10.17605/osf.io/mqvyf,mqvyf,nodes,0,1,223,8,3,Al-Tammemi_covid_8ePX - Preregistration.pdf | Materials.docx | SCORE Report Al-Tammemi_covid_8ePX-Buchanan_8m71.docx
